Position,x,y,Latitude,Longitude
1.0,-0.6,0.83,40.98610915222619,14.171373719650061
2.0,-0.6,0.93,40.98610915222619,14.171374909679223
3.0,-0.6,1.03,40.98610915222619,14.171376099708384
4.0,-0.6,1.13,40.98610915222619,14.171377289737546
5.0,-0.6,1.23,40.98610915222619,14.171378479766707
6.0,-0.6,1.33,40.98610915222619,14.171379669795868
7.0,-0.6,1.43,40.98610915222619,14.17138085982503
8.0,-0.6,1.53,40.98610915222619,14.171382049854191
9.0,-0.6,1.63,40.98610915222619,14.171383239883355
10.0,-0.6,1.73,40.98610915222619,14.171384429912516
11.0,-0.6,1.83,40.98610915222619,14.171385619941677
12.0,-0.6,1.93,40.98610915222619,14.171386809970839
13.0,-0.6,2.03,40.98610915222619,14.171388
14.0,-0.6,2.13,40.98610915222619,14.171389190029162
15.0,-0.6,2.23,40.98610915222619,14.171390380058323
16.0,-0.6,2.33,40.98610915222619,14.171391570087485
17.0,-0.6,2.43,40.98610915222619,14.171392760116646
18.0,-0.6,2.53,40.98610915222619,14.17139395014581
19.0,-0.6,2.63,40.98610915222619,14.17139514017497
20.0,-0.6,2.73,40.98610915222619,14.171396330204132
21.0,-0.5,0.83,40.98611005054148,14.171373719650061
22.0,-0.5,0.93,40.98611005054148,14.171374909679223
23.0,-0.5,1.03,40.98611005054148,14.171376099708384
24.0,-0.5,1.13,40.98611005054148,14.171377289737546
25.0,-0.5,1.23,40.98611005054148,14.171378479766707
26.0,-0.5,1.33,40.98611005054148,14.171379669795868
27.0,-0.5,1.43,40.98611005054148,14.17138085982503
28.0,-0.5,1.53,40.98611005054148,14.171382049854191
29.0,-0.5,1.63,40.98611005054148,14.171383239883355
30.0,-0.5,1.73,40.98611005054148,14.171384429912516
31.0,-0.5,1.83,40.98611005054148,14.171385619941677
32.0,-0.5,1.93,40.98611005054148,14.171386809970839
33.0,-0.5,2.03,40.98611005054148,14.171388
34.0,-0.5,2.13,40.98611005054148,14.171389190029162
35.0,-0.5,2.23,40.98611005054148,14.171390380058323
36.0,-0.5,2.33,40.98611005054148,14.171391570087485
37.0,-0.5,2.43,40.98611005054148,14.171392760116646
38.0,-0.5,2.53,40.98611005054148,14.17139395014581
39.0,-0.5,2.63,40.98611005054148,14.17139514017497
40.0,-0.5,2.73,40.98611005054148,14.171396330204132
41.0,-0.4,0.83,40.98611094885676,14.171373719650061
42.0,-0.4,0.93,40.98611094885676,14.171374909679223
43.0,-0.4,1.03,40.98611094885676,14.171376099708384
44.0,-0.4,1.13,40.98611094885676,14.171377289737546
45.0,-0.4,1.23,40.98611094885676,14.171378479766707
46.0,-0.4,1.33,40.98611094885676,14.171379669795868
47.0,-0.4,1.43,40.98611094885676,14.17138085982503
48.0,-0.4,1.53,40.98611094885676,14.171382049854191
49.0,-0.4,1.63,40.98611094885676,14.171383239883355
